"pressure","velocity:0","velocity:1","velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.018296,0,0,0,1,0,0,0.5,0
-0.018245,0.00025448,0.067664,0,1,0.01,0.01,0.5,0
-0.018298,0.00061007,0.12447,0,1,0.02,0.02,0.5,0
-0.018474,0.00055213,0.171,0,1,0.03,0.03,0.5,0
-0.018805,-0.00019205,0.20837,0,1,0.04,0.04,0.5,0
-0.019316,-0.0016864,0.23814,0,1,0.05,0.05,0.5,0
-0.020026,-0.0038414,0.26201,0,1,0.06,0.06,0.5,0
-0.020949,-0.0064869,0.28154,0,1,0.07,0.07,0.5,0
-0.022082,-0.0094136,0.29812,0,1,0.08,0.08,0.5,0
-0.023515,-0.012507,0.31177,0,1,0.09,0.09,0.5,0
-0.025065,-0.015651,0.32434,0,1,0.1,0.1,0.5,0
-0.026897,-0.018665,0.33477,0,1,0.11,0.11,0.5,0
-0.02893,-0.021588,0.34366,0,1,0.12,0.12,0.5,0
-0.031175,-0.02433,0.35057,0,1,0.13,0.13,0.5,0
-0.033631,-0.026892,0.35548,0,1,0.14,0.14,0.5,0
-0.036226,-0.029285,0.35861,0,1,0.15,0.15,0.5,0
-0.039015,-0.03144,0.35924,0,1,0.16,0.16,0.5,0
-0.041871,-0.03345,0.35849,0,1,0.17,0.17,0.5,0
-0.044858,-0.035168,0.355,0,1,0.18,0.18,0.5,0
-0.04789,-0.036816,0.35065,0,1,0.19,0.19,0.5,0
-0.051053,-0.038257,0.34368,0,1,0.2,0.2,0.5,0
-0.054176,-0.039634,0.33618,0,1,0.21,0.21,0.5,0
-0.057099,-0.040692,0.32595,0,1,0.22,0.22,0.5,0
-0.060021,-0.041749,0.31571,0,1,0.23,0.23,0.5,0
-0.062943,-0.042807,0.30548,0,1,0.24,0.24,0.5,0
-0.065866,-0.043865,0.29525,0,1,0.25,0.25,0.5,0
-0.068432,-0.044611,0.28338,0,1,0.26,0.26,0.5,0
-0.070999,-0.045357,0.2715,0,1,0.27,0.27,0.5,0
-0.073566,-0.046104,0.25963,0,1,0.28,0.28,0.5,0
-0.076133,-0.04685,0.24776,0,1,0.29,0.29,0.5,0
-0.078315,-0.04753,0.23604,0,1,0.3,0.3,0.5,0
-0.08042,-0.048196,0.22435,0,1,0.31,0.31,0.5,0
-0.082526,-0.048863,0.21266,0,1,0.32,0.32,0.5,0
-0.084631,-0.049529,0.20098,0,1,0.33,0.33,0.5,0
-0.086442,-0.05022,0.18981,0,1,0.34,0.34,0.5,0
-0.088106,-0.050922,0.17891,0,1,0.35,0.35,0.5,0
-0.08977,-0.051625,0.168,0,1,0.36,0.36,0.5,0
-0.091434,-0.052327,0.1571,0,1,0.37,0.37,0.5,0
-0.092896,-0.053048,0.14647,0,1,0.38,0.38,0.5,0
-0.094155,-0.053786,0.13611,0,1,0.39,0.39,0.5,0
-0.095414,-0.054524,0.12576,0,1,0.4,0.4,0.5,0
-0.096674,-0.055262,0.1154,0,1,0.41,0.41,0.5,0
-0.097804,-0.056016,0.10512,0,1,0.42,0.42,0.5,0
-0.098674,-0.0568,0.095002,0,1,0.43,0.43,0.5,0
-0.099543,-0.057585,0.084881,0,1,0.44,0.44,0.5,0
-0.10041,-0.058369,0.07476,0,1,0.45,0.45,0.5,0
-0.10122,-0.059167,0.06465,0,1,0.46,0.46,0.5,0
-0.1017,-0.060033,0.054594,0,1,0.47,0.47,0.5,0
-0.10219,-0.060899,0.044539,0,1,0.48,0.48,0.5,0
-0.10267,-0.061765,0.034483,0,1,0.49,0.49,0.5,0
-0.10315,-0.06263,0.024427,0,1,0.5,0.5,0.5,0
-0.10325,-0.06362,0.014337,0,1,0.51,0.51,0.5,0
-0.10335,-0.06461,0.0042466,0,1,0.52,0.52,0.5,0
-0.10345,-0.0656,-0.0058437,0,1,0.53,0.53,0.5,0
-0.10355,-0.06659,-0.015934,0,1,0.54,0.54,0.5,0
-0.10333,-0.067707,-0.026137,0,1,0.55,0.55,0.5,0
-0.10304,-0.068849,-0.036363,0,1,0.56,0.56,0.5,0
-0.10276,-0.069991,-0.046589,0,1,0.57,0.57,0.5,0
-0.10247,-0.071132,-0.056815,0,1,0.58,0.58,0.5,0
-0.10194,-0.07237,-0.0672,0,1,0.59,0.59,0.5,0
-0.10128,-0.073656,-0.077664,0,1,0.6,0.6,0.5,0
-0.10062,-0.074942,-0.088128,0,1,0.61,0.61,0.5,0
-0.099956,-0.076227,-0.098592,0,1,0.62,0.62,0.5,0
-0.099112,-0.077553,-0.1092,0,1,0.63,0.63,0.5,0
-0.098084,-0.078918,-0.11995,0,1,0.64,0.64,0.5,0
-0.097057,-0.080283,-0.13069,0,1,0.65,0.65,0.5,0
-0.09603,-0.081648,-0.14144,0,1,0.66,0.66,0.5,0
-0.094887,-0.083001,-0.15225,0,1,0.67,0.67,0.5,0
-0.093514,-0.084329,-0.1632,0,1,0.68,0.68,0.5,0
-0.092141,-0.085658,-0.17415,0,1,0.69,0.69,0.5,0
-0.090769,-0.086987,-0.18509,0,1,0.7,0.7,0.5,0
-0.089345,-0.088304,-0.19606,0,1,0.71,0.71,0.5,0
-0.087666,-0.089559,-0.20711,0,1,0.72,0.72,0.5,0
-0.085987,-0.090815,-0.21816,0,1,0.73,0.73,0.5,0
-0.084308,-0.092071,-0.22921,0,1,0.74,0.74,0.5,0
-0.082629,-0.093327,-0.24027,0,1,0.75,0.75,0.5,0
-0.080676,-0.094799,-0.25205,0,1,0.76,0.76,0.5,0
-0.078723,-0.096271,-0.26384,0,1,0.77,0.77,0.5,0
-0.07677,-0.097744,-0.27562,0,1,0.78,0.78,0.5,0
-0.074816,-0.099216,-0.2874,0,1,0.79,0.79,0.5,0
-0.072632,-0.1014,-0.30107,0,1,0.8,0.8,0.5,0
-0.070401,-0.10373,-0.31512,0,1,0.81,0.81,0.5,0
-0.068076,-0.10678,-0.33181,0,1,0.82,0.82,0.5,0
-0.065719,-0.11007,-0.34938,0,1,0.83,0.83,0.5,0
-0.063164,-0.11402,-0.37012,0,1,0.84,0.84,0.5,0
-0.060511,-0.11831,-0.39242,0,1,0.85,0.85,0.5,0
-0.057538,-0.12241,-0.41673,0,1,0.86,0.86,0.5,0
-0.054336,-0.12637,-0.44246,0,1,0.87,0.87,0.5,0
-0.05098,-0.12938,-0.46712,0,1,0.88,0.88,0.5,0
-0.047392,-0.13018,-0.48821,0,1,0.89,0.89,0.5,0
-0.043731,-0.1284,-0.50329,0,1,0.9,0.9,0.5,0
-0.040139,-0.12248,-0.50621,0,1,0.91,0.91,0.5,0
-0.036812,-0.11229,-0.49413,0,1,0.92,0.92,0.5,0
-0.033967,-0.097981,-0.46459,0,1,0.93,0.93,0.5,0
-0.031779,-0.080422,-0.4173,0,1,0.94,0.94,0.5,0
-0.030344,-0.0611,-0.3545,0,1,0.95,0.95,0.5,0
-0.029595,-0.041998,-0.28069,0,1,0.96,0.96,0.5,0
-0.029477,-0.024881,-0.20254,0,1,0.97,0.97,0.5,0
-0.029837,-0.011452,-0.12597,0,1,0.98,0.98,0.5,0
-0.030498,-0.0026882,-0.0566,0,1,0.99,0.99,0.5,0
-0.031257,-7.4614e-18,-1.571e-16,0,1,1,1,0.5,0
